BrojPu,Naselje
49250,Frkuljevec Peršaveški
49250,Gornja Batina
49250,Gornja Selnica
49250,Juranšćina
49250,Ladislavec
49250,Lobor
49250,Mače
49250,Mali Bukovec
49250,Mali Komor
49250,Markušbrijeg
49250,Martinšćina
49250,Peršaves
49250,Petrova Gora
49250,Petruševec
49250,Ratkovec
49250,Repno
49250,Stari Golubovec
49250,Šćrbinec
49250,Šipki
49250,Velika Petrovagorska
49250,Veliki Bukovec
49250,Veliki Komor
49250,Vinipotok
49250,Vižanovec
49250,Vojnovec Loborski
49250,Vukanci
49250,Završje Belečko
49250,Završje Loborsko
49250,Zlatar
49250,Znož
49252,Frkuljevec Mihovljanski
49252,Gora Veternička
49252,Gregurovec
49252,Kuzminec
49252,Mihovljan
49252,Novi Golubovec
49252,Očura
49252,Sutinske Toplice
49252,Velika Veternička
49252,Veternica
49282,Bočadir
49282,Bočaki
49282,Brlekovo
49282,Donja Batina 217-258
49282,Donja Konjščina
49282,Galovec
49282,Gornja Konjščina
49282,Husinec
49282,Jelovec
49282,Jertovec
49282,Klimen
49282,Konjščina
49282,Kosovečko
49282,Krapina Selo
49282,Lipovec
49282,Maretić
49282,Pešćeno
49282,Sušobreg
49282,Turnišće
49284,Budinšćina
49284,Domovec
49284,Donji Kraljevec
49284,Gornjaki
49284,Gornji Kraljevec
49284,Gotalovec
49284,Grtovec
49284,Hrašćina
49284,Jarek Habekov
49284,Krapinica
49284,Marigutić
49284,Pažurovec
49284,Pece
49284,Pokojec
49284,Pomperovec
49284,Prepuštovec
49284,Sveti Križ
49284,Topličica
49284,Trgovišće
49284,Vrbovo
49284,Zajezda
49290,Banska Gorica
49290,Bobovec Tomaševečki
49290,Bojačno
49290,Bratkovec
49290,Bratovski Vrh
49290,Brezakovec
49290,Cesarska Ves
49290,Črešnjevec
49290,Dol Klanječki
49290,Donji Škrnik
49290,Draše
49290,Dubrovčan 131-214
49290,Dugnjevec
49290,Florijan
49290,Glogovec Zagorski
49290,Goljak Klanječki
49290,Gorkovec
49290,Gornji Čemehovec
49290,Gornji Škrnik
49290,Gredice
49290,Harina Žlaka
49290,Ivanić Miljanski
49290,Kačkovec
49290,Kapelski Vrh
49290,Kladnik
49290,Klanjec
49290,Kraljevec na Sutli
49290,Kumrovec
49290,Kuzminec Miljanski
49290,Ledine Klanječke
49290,Lenišće
49290,Lepoglavec
49290,Letovčan Novodvorski
49290,Letovčan Tomaševečki
49290,Lipnica Zagorska
49290,Lučelnica Tomaševečka
49290,Lukavec Klanječki
49290,Luke Poljanske
49290,Mihanovićev Dol
49290,Miljana
49290,Movrač
49290,Novi Dvori Klanječki
49290,Plavić
49290,Podgora
49290,Police
49290,Poljana Sutlanska
49290,Pristava
49290,Prosenik
49290,Pušava
49290,Pušća
49290,Radakovo
49290,Rakovec Tomaševečki
49290,Ravno Brezje
49290,Razdrto Tuheljsko
49290,Razvor
49290,Risvica
49290,Strmec Sutlanski
49290,Sveti Križ
49290,Tomaševec
49290,Trsteno
49290,Tuhelj
49290,Tuheljske Toplice
49290,Velika Erpenja
49290,Velinci
49290,Vilanci
49290,Zagorska Sela
51000,Kostrena
51000,Rijeka
51211,Brdce
51211,Bregi
51211,Brešca
51211,Jurdani
51211,Jušići
51211,Kućeli
51211,Lipa
51211,Male Mune
